comment,likes_count,is_reply
Luar biasa bapak ini smoga sukses,0,True
Dia tidak menyombongkan diri tapi meyakinkan rakyat maka kita pegang perkataannya asal jgn tambah beban pada rakyat dgn segala aturan yg merugikan dan yg ada segera dibatalkan.,0,True
Kancuttan.....,0,True
Pengen tau nanti ini orang kerjanya gimana. Ibu SM bukan kaleng2 loh.,0,True
Terlalau Percaya diri,0,True
@Miswanto-r3t,0,True
Jangan omon2 aja. Langsung ada tindakan. Buktikan dan jalanin amanah rakyat.,0,True
@GoAhead33 ente kmaren pajak naek aja protes di era siapa utang meningkat sampai bunganya aja ratusan triliun,0,True
"Hutang Indonesia banyak pak...bgmn cara melunasinya,,,apakah tetap menaikan pajak kepada rakyat",0,True
50.50 berdoa aja lah.....,0,True
. MENKEU YG BARU DEETI INI? JAUH PANGGANG DARI API,0,True
"Omon"" ujung""nya korupsi kalo hukum masih pincang di negara indonesia",0,True
"Maaf, ini yg namanya strategi meyakinkan Pasar, mungkin kalau nggak tau, itu terlihat sombong.",0,True
itu sebab pemikiran yg buntu ga berpikir maju.. @zavian_alfatih,0,True
Btl menkeu terbaru harus buktikan ke rakyat sikat potong pajak besar2an.jgn spt ibu benalu muliany yg kerjanya tukang pajakin sana sini.akhirnya dia dipecat,0,True
Jangan langsung banyak ngomong bunk. Kita tunggu gebrakan anda khususnya di internal Menkeu dan Pajak.,0,True
"@Santosoagustinus-u2f sudah lah Bray. Kalo belum mengetahui ilmu keuangan apalagi keuangan negara dan politik luar negeri, Lebih baik diam dan amati pergantian Menkeu. Nanti kamu bakalan mengerti perkembagan negara seperti apa. Negara ini kalo condong ke timur bakalan ancur. Kalo negara ini condong kebarat bakal habis sumber daya alamnya. Karena negara barat dan timur sedang tidak baik bak saja.Dah gamau debat.",0,True
"Itu bukan sombong, namanya optimis dan percaya diri.",0,True
Wah bunyinya nyaring ni ? Jangan2 tong kosong ....,0,True
Anggap itu berfikir positif dulu mudah2an jadi kenyataan...,0,True
Anda gak paham bagaimana building trust...,0,True
"@alanbima3859 jman SBY gak kepake, tu mulyani, dan baik2, gk sperti skrg, apa2 di pjakin",0,True
Emang tinggi ini cerita nya pak mentri ane simak2. Kita lihat aja pegimane sodare2. Asal jng nnt bahan pokok sayur2an di pajakin...,0,True
Ya salahkan yg nanya lah,0,True
SETUJU..BUKTIKAN..,0,True
PERBAIKI MUKA KAU BIAR BAGUS,0,True
@kadhiiom6858 diding apa nyeee kang....!! Noh lihat dia bilang paling tau. Paling paham. Paling bisa..pegimane ituk,0,True
"Yakin sama dengan junjunganya hanya omon omon, hormat hormat,",0,True
Bukan sombonk tapi oktimis ekonomi membaik,0,True
"Indonesia akan menjadi seperti apa yang kebanyakan orang pikirkan. Kalau kalian berikan energi negatif maka negatif pula yang kalian rasakan. Begitu juga sebaliknya. So, ngapain mikir yang jelek jelek???",0,True
"Kita lihat aja dulu,KLO kebijakannya cenderung menyengsarakan rakyat,enaknya diapain,karena ekonomi terlanjur rusak parah dari sebelumnya",0,True
@supriyono1193 Cara memperbaiki ekonomi berantas dulu korupsi penghambat ekonomi itu para koruptor,0,True
